geo_padre_nombre,geografia_nombre,SublineaTematica,Indicador,Valor
BOGOTA D.C.,ANTONIO NARINO,DEMOGRAFIA,POBLACION POR (# personas),108941
BOGOTA D.C.,ANTONIO NARINO,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),22326.06442
BOGOTA D.C.,ANTONIO NARINO,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),487.954339
BOGOTA D.C.,ANTONIO NARINO,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),4.879543
BOGOTA D.C.,BARRIOS UNIDOS,DEMOGRAFIA,POBLACION POR (# personas),240960
BOGOTA D.C.,BARRIOS UNIDOS,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),20242.87382
BOGOTA D.C.,BARRIOS UNIDOS,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),1190.34482
BOGOTA D.C.,BARRIOS UNIDOS,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),11.903448
BOGOTA D.C.,BOSA,DEMOGRAFIA,POBLACION POR (# personas),646833
BOGOTA D.C.,BOSA,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),27026.60345
BOGOTA D.C.,BOSA,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),2393.319609
BOGOTA D.C.,BOSA,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),23.933196
BOGOTA D.C.,CANDELARIA,DEMOGRAFIA,POBLACION POR (# personas),24096
BOGOTA D.C.,CANDELARIA,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),11695.70819
BOGOTA D.C.,CANDELARIA,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),206.024292
BOGOTA D.C.,CANDELARIA,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),2.060243
BOGOTA D.C.,CHAPINERO,DEMOGRAFIA,POBLACION POR (# personas),137870
BOGOTA D.C.,CHAPINERO,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),3613.33777
BOGOTA D.C.,CHAPINERO,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),3815.585721
BOGOTA D.C.,CHAPINERO,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),38.155857
BOGOTA D.C.,CIUDAD BOLIVAR,DEMOGRAFIA,POBLACION POR (# personas),687923
BOGOTA D.C.,CIUDAD BOLIVAR,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),5291.609834
BOGOTA D.C.,CIUDAD BOLIVAR,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),13000.25931
BOGOTA D.C.,CIUDAD BOLIVAR,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),130.002593
BOGOTA D.C.,ENGATIVA,DEMOGRAFIA,POBLACION POR (# personas),874755
BOGOTA D.C.,ENGATIVA,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),24379.35943
BOGOTA D.C.,ENGATIVA,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),3588.096737
BOGOTA D.C.,ENGATIVA,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),35.880967
BOGOTA D.C.,FONTIBON,DEMOGRAFIA,POBLACION POR (# personas),380453
BOGOTA D.C.,FONTIBON,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),11431.53667
BOGOTA D.C.,FONTIBON,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),3328.100246
BOGOTA D.C.,FONTIBON,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),33.281002
BOGOTA D.C.,KENNEDY,DEMOGRAFIA,POBLACION POR (# personas),1069469
BOGOTA D.C.,KENNEDY,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),27713.82164
BOGOTA D.C.,KENNEDY,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),3858.973381
BOGOTA D.C.,KENNEDY,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),38.589734
BOGOTA D.C.,MARTIRES,DEMOGRAFIA,POBLACION POR (# personas),98758
BOGOTA D.C.,MARTIRES,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),15160.77658
BOGOTA D.C.,MARTIRES,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),651.404626
BOGOTA D.C.,MARTIRES,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),6.514046
BOGOTA D.C.,PUENTE ARANDA,DEMOGRAFIA,POBLACION POR (# personas),258414
BOGOTA D.C.,PUENTE ARANDA,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),14927.60452
BOGOTA D.C.,PUENTE ARANDA,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),1731.114994
BOGOTA D.C.,PUENTE ARANDA,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),17.31115
BOGOTA D.C.,RAFAEL URIBE,DEMOGRAFIA,POBLACION POR (# personas),375107
BOGOTA D.C.,RAFAEL URIBE,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),1383.408481
BOGOTA D.C.,RAFAEL URIBE,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),13.834085
BOGOTA D.C.,SAN CRISTOBAL,DEMOGRAFIA,POBLACION POR (# personas),406025
BOGOTA D.C.,SAN CRISTOBAL,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),8269.592731
BOGOTA D.C.,SAN CRISTOBAL,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),4909.854853
BOGOTA D.C.,SAN CRISTOBAL,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),49.098549
BOGOTA D.C.,SANTAFE,DEMOGRAFIA,POBLACION POR (# personas),110053
BOGOTA D.C.,SANTAFE,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),2436.38314
BOGOTA D.C.,SANTAFE,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),4517.064586
BOGOTA D.C.,SANTAFE,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),45.170646
BOGOTA D.C.,SUBA,DEMOGRAFIA,POBLACION POR (# personas),1174736
BOGOTA D.C.,SUBA,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),11681.88563
BOGOTA D.C.,SUBA,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),10056.04777
BOGOTA D.C.,SUBA,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),100.560478
BOGOTA D.C.,SUMAPAZ,DEMOGRAFIA,POBLACION POR (# personas),6460
BOGOTA D.C.,SUMAPAZ,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),8.271778
BOGOTA D.C.,SUMAPAZ,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),78096.87577
BOGOTA D.C.,SUMAPAZ,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),780.968758
BOGOTA D.C.,TEUSAQUILLO,DEMOGRAFIA,POBLACION POR (# personas),151092
BOGOTA D.C.,TEUSAQUILLO,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),10645.40338
BOGOTA D.C.,TEUSAQUILLO,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),1419.316813
BOGOTA D.C.,TEUSAQUILLO,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),14.193168
