geo_padre_nombre,geografia_nombre,SublineaTematica,Indicador,Valor
BOGOTA D.C.,ANTONIO NARINO,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),2.5
BOGOTA D.C.,ANTONIO NARINO,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),3.5
BOGOTA D.C.,ANTONIO NARINO,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),10571
BOGOTA D.C.,ANTONIO NARINO,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),9101
BOGOTA D.C.,ANTONIO NARINO,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),93
BOGOTA D.C.,BARRIOS UNIDOS,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),6.9
BOGOTA D.C.,BARRIOS UNIDOS,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),7.9
BOGOTA D.C.,BARRIOS UNIDOS,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),14865
BOGOTA D.C.,BARRIOS UNIDOS,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),10246
BOGOTA D.C.,BARRIOS UNIDOS,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),28374
BOGOTA D.C.,BARRIOS UNIDOS,HABITAT,VIVIENDAS VIP EN ESTUDIOS Y DISENOS (numerico),684
BOGOTA D.C.,BARRIOS UNIDOS,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),150
BOGOTA D.C.,BOSA,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),1.8
BOGOTA D.C.,BOSA,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),3.7
BOGOTA D.C.,BOSA,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),4312
BOGOTA D.C.,BOSA,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS POR HECHOS NOTORIOS (numerico),925
BOGOTA D.C.,BOSA,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),4809
BOGOTA D.C.,BOSA,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),60480
BOGOTA D.C.,BOSA,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),759
BOGOTA D.C.,BOSA,HABITAT,VIVIENDAS VIP EN CONSTRUCCION (numerico),5423
BOGOTA D.C.,BOSA,HABITAT,VIVIENDAS VIP EN ESTUDIOS Y DISENOS (numerico),769
BOGOTA D.C.,BOSA,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),1387
BOGOTA D.C.,CANDELARIA,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),2.4
BOGOTA D.C.,CANDELARIA,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),2.3
BOGOTA D.C.,CANDELARIA,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),30606
BOGOTA D.C.,CANDELARIA,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),10266
BOGOTA D.C.,CANDELARIA,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),43
BOGOTA D.C.,CANDELARIA,HABITAT,VIVIENDAS VIP EN ESTUDIOS Y DISENOS (numerico),18
BOGOTA D.C.,CANDELARIA,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),2
BOGOTA D.C.,CHAPINERO,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),4.4
BOGOTA D.C.,CHAPINERO,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),7.2
BOGOTA D.C.,CHAPINERO,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),6
BOGOTA D.C.,CHAPINERO,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),153465
BOGOTA D.C.,CHAPINERO,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),63
BOGOTA D.C.,CHAPINERO,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),62
BOGOTA D.C.,CIUDAD BOLIVAR,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),2.6
BOGOTA D.C.,CIUDAD BOLIVAR,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),3.9
BOGOTA D.C.,CIUDAD BOLIVAR,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),6480
BOGOTA D.C.,CIUDAD BOLIVAR,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS POR HECHOS NOTORIOS (numerico),6123
BOGOTA D.C.,CIUDAD BOLIVAR,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),2764
BOGOTA D.C.,CIUDAD BOLIVAR,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),27069
BOGOTA D.C.,CIUDAD BOLIVAR,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),1106
BOGOTA D.C.,CIUDAD BOLIVAR,HABITAT,VIVIENDAS VIP EN CONSTRUCCION (numerico),515
BOGOTA D.C.,CIUDAD BOLIVAR,HABITAT,VIVIENDAS VIP EN TRAMITES DE LICENCIAMIENTO (numerico),317
BOGOTA D.C.,ENGATIVA,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),3.6
BOGOTA D.C.,ENGATIVA,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),6.3
BOGOTA D.C.,ENGATIVA,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),11073
BOGOTA D.C.,ENGATIVA,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS POR HECHOS NOTORIOS (numerico),81136
BOGOTA D.C.,ENGATIVA,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),11479
BOGOTA D.C.,ENGATIVA,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),107028
BOGOTA D.C.,ENGATIVA,HABITAT,SUBSIDIOS DISTRITALES DE VIVIENDA GENERADOS PARA VIVIENDA O MEJORAMIENTO (numerico),5
BOGOTA D.C.,ENGATIVA,HABITAT,VIVIENDAS VIP EN ESTUDIOS Y DISENOS (numerico),152
BOGOTA D.C.,FONTIBON,ESPACIO PUBLICO,ESPACIO PUBLICO EFECTIVO POR HABITANTE (numerico),3.5
BOGOTA D.C.,FONTIBON,ESPACIO PUBLICO,ESPACIO PUBLICO VERDE POR HABITANTE (numerico),6.1
BOGOTA D.C.,FONTIBON,ESPACIO PUBLICO,NUMERO DE ARBOLES POR CADA 100.000 HABITANTES (numerico),13746
BOGOTA D.C.,FONTIBON,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS POR HECHOS NOTORIOS (numerico),16259
BOGOTA D.C.,FONTIBON,ESPACIO PUBLICO,NUMERO DE METROS CUADRADOS DE ESPACIO PUBLICO RESTITUIDOS VOLUNTARIAMENTE (numerico),8114
BOGOTA D.C.,FONTIBON,HABITAT,PREDIOS CLASIFICADOS COMO PROPIEDAD HORIZONTAL (numerico),113438
